year,from_country_id,to_country_id,total_points,tele_points,jury_points,norm_points,voting_regime,pair_id,numeric_id,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,distw,former_soviet_from_country,former_yugoslav_from_country,scandinavian_from_country,balkan_from_country,former_soviet_to_country,former_yugoslav_to_country,scandinavian_to_country,balkan_to_country,former_soviet,former_yugoslav,scandinavian,balkan,eu_membership,from_gdp_usd,from_gdp_pc_usd,from_log_gdp_usd,from_log_gdp_pc_usd,to_gdp_usd,to_gdp_pc_usd,to_log_gdp_usd,to_log_gdp_pc_usd,gdp_similarity,migrant_stock,migration_source,voting_country_population,migration_intensity,trade_bilateral,trade_openness,log_trade_openness,log_trade_bilateral
1957,GBR,ITA,2,,,0.2,10.0,GBR-ITA,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1487.006,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,GBR,BEL,0,,,0.0,10.0,GBR-BEL,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.2817,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,GBR,CHE,0,,,0.0,10.0,GBR-CHE,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,902.2784,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,GBR,AUT,2,,,0.2,10.0,GBR-AUT,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1290.561,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1958,AUT,FRA,7,,,0.7,10.0,AUT-FRA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975.7691,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1958,AUT,CHE,0,,,0.0,10.0,AUT-CHE,8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,576.4147,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1958,AUT,ITA,1,,,0.1,10.0,AUT-ITA,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.9222,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1958,AUT,SWE,1,,,0.1,10.0,AUT-SWE,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.473,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1958,AUT,BEL,0,,,0.0,10.0,AUT-BEL,7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,858.1682,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1958,AUT,DEU,1,,,0.1,10.0,AUT-DEU,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,592.3266,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
